GO_ID	pValues	interestCount	backgroundCount
GO:0010948	0.01358885255864113	2	3
GO:0051129	1.0	0	7
GO:1901991	0.04127016152442236	2	5
GO:0030071	0.20439681676324	4	34
GO:1901987	0.5756674533753028	1	12
GO:1901990	1.0	0	10
GO:0007346	0.25426081638228604	6	62
GO:0045839	1.0	0	6
GO:0045930	0.3032300005892878	2	16
GO:0045786	0.3148881080325726	5	54
GO:0007088	0.42991478497756974	2	21
GO:0003691	0.47422283438659296	1	9
GO:0003690	0.2581876387640746	12	140
GO:0003677	0.0006307263936642004	112	1203
GO:0042162	0.8741396251113995	1	29
GO:0043565	3.264162497316095e-21	97	496
GO:0004666	0.19286060605380606	1	3
GO:0016705	0.9964944947503893	1	79
GO:0016491	0.9994438075226979	4	194
GO:0032805	0.19286060605380606	1	3
GO:0042176	0.4771867610776184	2	23
GO:0045732	0.15978208981342434	8	77
GO:0009896	0.07905658610117396	2	7
GO:2000646	0.34854795329137683	1	6
GO:0039534	0.24850146150336413	1	4
GO:0045088	0.6900566485562055	2	34
GO:0050776	0.5438901233121153	3	41
GO:0002682	1.0454072467791445e-06	15	51
GO:0039532	0.014069468163309886	3	8
GO:0070050	0.7604587169463339	1	20
GO:0036211	0.9373168823989639	2	63
GO:0019538	1.0	0	3
GO:0030155	0.024995901345176087	8	52
GO:0045823	0.43528378435773646	1	8
GO:0008016	0.8741396251113995	1	29
GO:0072218	0.24850146150336413	1	4
GO:0072073	1.0	0	3
GO:0060429	0.09338773253926848	3	16
GO:0009888	0.28059727502192	4	39
GO:0035295	0.604932507316985	1	13
GO:0072207	0.3003092864980996	1	5
GO:0071773	0.0894674501717166	4	25
GO:0071363	0.44013269270408656	5	63
GO:0070848	0.19849321650809154	2	12
GO:0045862	0.7236422578828927	1	18
GO:0030162	0.2244868060751178	2	13
GO:0008506	0.24850146150336413	1	4
GO:0015293	0.6575506730915142	1	15
GO:0015291	1.0	0	21
GO:0008324	0.38046460717169645	2	19
GO:0015075	1.0	0	14
GO:0005351	1.0	0	3
GO:0015295	1.0	0	3
GO:0015078	1.0	0	38
GO:0110024	0.19286060605380606	1	3
GO:2000288	1.0	0	4
GO:0002062	0.29638122349016605	4	40
